cabinet_name,size_x_mm,size_y_mm,size_z_mm
Obj_000001,1197.0,19.0,581.0
Obj_000002,1184.001,20.295,45.0
Obj_000003,1184.001,20.295,45.0
Obj_000004,16.0,1121.303,45.0
Obj_000005,1200.001,1240.0,60.0
Obj_000006,16.001,1238.0,932.0
Obj_000007,520.0,1850.0,16.0
Obj_000008,97.286,317.341,421.097
Obj_000009,597.0,19.0,581.0
Obj_000010,1197.0,19.111,16.094
Obj_000011,1200.0,595.0,628.0
Obj_000012,1200.0,26.8,52.0
Obj_000013,595.0,300.001,170.0
Obj_000014,1195.0,300.001,170.0
Obj_000015,1195.0,300.001,170.0
Obj_000016,3.0,340.0,178.0
Obj_000017,3.0,340.0,178.0
Obj_000018,597.0,19.111,16.094
Obj_000019,600.0,595.0,628.0
Obj_000020,600.0,26.8,52.0
Obj_000021,597.0,19.0,581.0
Obj_000022,1200.0,26.8,52.0
Obj_000023,1200.0,595.0,628.0
Obj_000024,1197.0,19.111,16.094
Obj_000025,597.0,19.0,581.0
Obj_000026,597.0,19.0,581.0
Obj_000027,600.0,26.8,52.0
Obj_000028,600.0,595.0,828.0
Obj_000029,597.0,19.111,16.094
Obj_000030,597.0,19.0,781.0
Obj_000031,597.0,19.0,781.0
Obj_000032,1197.0,19.111,16.094
Obj_000033,1200.0,595.0,628.0
Obj_000034,1200.0,26.8,52.0
Obj_000035,597.0,19.111,16.094
Obj_000036,600.0,595.0,828.0
Obj_000037,600.0,26.8,52.0
Obj_000038,415.0,410.0,700.0
Obj_000039,415.0,410.0,700.0
Obj_000040,584.0,568.0,16.0
Obj_000041,16.0,619.0,883.0
Obj_000042,1200.0,500.0,276.0
Obj_000043,3019.0,3676.0,60.0
Obj_000044,525.0,4800.0,60.0
Obj_000045,26.8,1200.0,52.0
Obj_000046,26.8,1200.0,52.0
Obj_000047,595.0,1200.0,828.0
Obj_000048,595.0,1200.0,828.0
Obj_000049,595.0,1200.0,828.0
Obj_000050,595.0,1200.0,828.0
Obj_000051,19.111,1197.0,16.094
Obj_000052,19.111,1197.0,16.094
Obj_000053,19.0,1197.0,381.0
Obj_000054,19.0,1197.0,397.0
Obj_000055,19.0,1197.0,285.0
Obj_000056,19.0,1197.0,397.0
Obj_000057,19.0,1197.0,397.0
Obj_000058,19.0,1197.0,285.0
Obj_000059,19.0,1197.0,381.0
Obj_000060,19.0,1197.0,397.0
Obj_000061,620.0,2400.0,200.0
Obj_000062,20.0,2500.0,200.0
Obj_000063,620.0,1200.0,60.0
Obj_000064,46.0,16.0,2119.0
Obj_000065,46.0,16.0,2119.0
Obj_000066,645.0,16.0,2900.0
Obj_000067,1099.0,1100.0,2845.0
Obj_000068,595.001,600.0,2845.0
Obj_000069,18.0,48.0,2845.0
Obj_000070,595.001,1256.0,2845.0
Obj_000071,595.001,600.0,2845.0
Obj_000072,18.0,48.0,2845.0
Obj_000073,48.0,18.0,2845.0
Obj_000074,600.0,595.001,2845.0
Obj_000075,48.0,18.0,2845.0
Obj_000076,600.0,595.001,2845.0
Obj_000077,600.0,595.001,2845.0
Obj_000078,48.0,18.0,2845.0
Obj_000079,19.0,597.0,718.0
Obj_000080,19.0,597.0,2119.0
Obj_000081,19.0,1253.0,722.0
Obj_000082,19.0,597.0,2119.0
Obj_000083,19.0,597.0,718.0
Obj_000084,599.995,5.712,594.994
Obj_000085,599.995,5.712,594.994
Obj_000086,597.0,19.0,797.0
Obj_000087,597.0,19.0,797.0
Obj_000088,597.0,19.0,718.0
Obj_000089,597.0,19.0,718.0
Obj_000090,597.0,19.0,718.0
Obj_000091,597.0,19.0,718.0
Obj_000092,597.0,19.0,2119.0
Obj_000093,597.0,19.0,718.0
Obj_000094,16.0,645.001,2900.0
Obj_000095,30.0,18.0,2845.0
Obj_000096,16.0,1238.0,882.0
Obj_000097,3000.0,1050.0,60.0
Obj_000098,16.0,1238.0,883.0
Obj_000099,3018.0,1240.0,60.0
Obj_000100,60.0,30.0,60.0
Obj_000101,60.0,30.0,60.0
Obj_000102,60.0,30.0,60.0
Obj_000103,60.0,30.0,60.0
Obj_000104,482.492,579.102,9.988
Obj_000105,482.492,579.102,9.988
Obj_000106,482.492,579.102,9.988
Obj_000107,482.492,579.102,9.988
Obj_000108,9.887,579.102,775.086
Obj_000109,9.887,579.102,775.086
Obj_000110,488.0,578.0,90.0
Obj_000111,488.0,578.0,90.0
Obj_000112,488.0,578.0,200.0
Obj_000113,597.0,19.0,581.0
Obj_000114,620.0,1202.0,60.0
Obj_000115,20.0,2302.0,200.0
Obj_000116,19.0,487.0,2119.0
Obj_000117,493.0,19.0,2119.0
Obj_000118,19.0,624.0,2119.0
Obj_000119,19.0,624.0,2119.0
Obj_000120,18.0,48.0,2845.0
Obj_000121,18.0,48.0,2845.0
Obj_000122,16.0,480.0,718.0
Obj_000123,505.0,16.0,721.0
